class,type,name,spellID,omniCDDefault,skillCappedDefaults,OmniBar,OmniBarType,WeakAura,WeakAuraType,castTime,range,cooldown,iconUrl,screenshotUrl,description,descriptionOriginal
MAGE,offensive,Combustion,190319,1,0,0,,1,Offensives,Instant,0 yards,2 minutes,wow-mage-combustion.png,wow-mage-combustion.jpg,"Engulfs you in flames for 10 sec, increasing your spells critical strike chance by 100%. Castable while casting other spells.","Engulfs you in flames for 10 sec, increasing your spells' critical strike chance by 100%. Castable while casting other spells."
MAGE,interrupt,Counterspell,2139,1,1,1,Interrupts,0,,Instant,40 yards,24 seconds,wow-mage-counterspell.png,wow-mage-counterspell.jpg,"Silences the enemy, preventing spells from the interrupted school of magic for 5 sec.","Counters the enemy's spellcast, preventing any spell from that school of magic from being cast for 5 sec."
MAGE,aoeCC,Dragon's Breath,31661,0,1,1,Crowd Control,0,,Instant,0 yards,45 seconds,wow-mage-dragon's-breath.png,wow-mage-dragon's-breath.jpg,Enemies in a cone in front of you take Fire damage and are disoriented for 4 sec. Damage will cancel the effect.,Enemies in a cone in front of you take (66. 99% of Spell power) Fire damage and are disoriented for 4 sec. Damage will cancel the effect.
MAGE,immunity,Ice Block,45438,1,1,1,Defensives,0,,Instant,0 yards,4 minutes,wow-mage-ice-block.png,wow-mage-ice-block.jpg,"Encases you in a block of ice, making you immune to all attacks and damage for 10 sec. You cannot attack, move, or cast spells during this time. Causes Hypothermia, preventing recasting for 30 sec.","Encases you in a block of ice, protecting you from all attacks and damage for 10 sec, but during that time you cannot attack, move, or cast spells. Causes Hypothermia, preventing you from recasting Ice Block for 30 sec."
MAGE,defensive,Ice Cold,414658,1,1,0,,0,,Instant,0 yards,4 minutes,wow-mage-ice-cold.png,wow-mage-ice-cold.jpg,"Reduces all damage you take by 70% for 6 sec. Causes Hypothermia, preventing recasting for 30 sec.","Your blood runs cold, reducing all damage you take by 70% for 6 sec. Causes Hypothermia, preventing you from recasting Ice Cold for 30 sec."
MAGE,offensive,Icy Veins,12472,1,0,0,,1,Offensives,Instant,0 yards,2 minutes,wow-mage-icy-veins.png,wow-mage-icy-veins.jpg,"Grants 20% haste for 25 sec and prevents damage from delaying your spellcasts. Summons a water elemental for the duration, which increases your Frost damage by 3% per ability, up to 15%.","Accelerates your spellcasting for 25 sec, granting 20% haste and preventing damage from delaying your spellcasts. Activating Icy Veins summons a water elemental to your side for its duration. The water elemental's abilities grant you Frigid Empowerment, increasing the Frost damage you deal by 3%, up to 15%."
MAGE,offensive,Presence of Mind,205025,0,0,0,,1,Offensives,Instant,0 yards,45 seconds,wow-mage-presence-of-mind.png,wow-mage-presence-of-mind.jpg,Makes your next 2 Arcane Blasts instant cast.,Causes your next 2 Arcane Blasts to be instant cast.
MAGE,dispel,Remove Curse,475,0,1,0,,0,,Instant,40 yards,8 seconds,wow-mage-remove-curse.png,wow-mage-remove-curse.jpg,Removes all Curses from a friendly target.,Removes all Curses from a friendly target.
MAGE,aoeCC,Ring of Frost,113724,1,1,0,,0,,2 seconds,30 yards,45 seconds,wow-mage-ring-of-frost.png,wow-mage-ring-of-frost.jpg,"Summons a Ring of Frost for 10 sec at the target location. Enemies entering the ring are incapacitated for 10 sec, up to 10 targets. When the incapacitate expires, enemies are slowed by 65% for 4 sec.","Summons a Ring of Frost for 10 sec at the target location. Enemies entering the ring are incapacitated for 10 sec. Limit 10 targets. When the incapacitate expires, enemies are slowed by 65% for 4 sec."
MAGE,cc,Snowdrift,389794,0,0,0,,1,Offensives,Instant,0 yards,45 seconds,wow-mage-snowdrift.png,wow-mage-snowdrift.jpg,"Summon a Blizzard around you for 6 sec, slowing enemies by 70% and dealing Frost damage each second. Enemies caught for 2 sec become Frozen and are stunned for 4 sec.","Summon a strong Blizzard that surrounds you for 6 sec that slows enemies by 70% and deals (20% of Spell power) Frost damage every 1 sec. Enemies that are caught in Snowdrift for 2 sec consecutively become Frozen in ice, stunned for 4 sec."
MONK,dispel,Detox,115450,0,1,0,,0,,Instant,40 yards,8 seconds,wow-monk-detox.png,wow-monk-detox.jpg,Removes all Magic effects from the target.,Removes all Magic effects from the target.
MONK,defensive,Diffuse Magic,122783,1,1,1,Defensives,0,,Instant,0 yards,1.5 minutes,wow-monk-diffuse-magic.png,wow-monk-diffuse-magic.jpg,Reduces magic damage taken by 60% for 6 sec and reflects all active harmful magic effects back to their original caster if possible.,"Reduces magic damage you take by 60% for 6 sec, and transfers all currently active harmful magical effects on you back to their original caster if possible."
MONK,defensive,Invoke Niuzao the Black Ox,132578,0,0,0,,1,Offensives,Instant,40 yards,3 minutes,wow-monk-invoke-niuzao-the-black-ox.png,wow-monk-invoke-niuzao-the-black-ox.jpg,"Summons an effigy of Niuzao, the Black Ox for 25 sec. Niuzao attacks your primary target and frequently stomps, damaging all nearby enemies. While active, 25% of damage delayed by Stagger is instead staggered by Niuzao.","Summons an effigy of Niuzao, the Black Ox for 25 sec. Niuzao attacks your primary target, and frequently Stomps, damaging all nearby enemies [Improved Invoke Niuzao, the Black Ox: for (16. 38% of Attack power) plus 0% of Stagger damage you have recently purified / .] While active, 25% of damage delayed by Stagger is instead Staggered by Niuzao."
MONK,aoeCC,Leg Sweep,119381,0,1,1,Crowd Control,0,,Instant,0 yards,1 minute,wow-monk-leg-sweep.png,wow-monk-leg-sweep.jpg,Stuns all enemies within 6 yards for 3 sec.,"Knocks down all enemies within 6 yards, stunning them for 3 sec."
MONK,externalDefensive,Life Cocoon,116849,1,1,1,Defensives,0,,Instant,40 yards,2 minutes,wow-monk-life-cocoon.png,wow-monk-life-cocoon.jpg,"Encases the target in a cocoon for 12 sec, absorbing damage based on 48% of their total health (increased by Versatility) and increasing all healing over time received by 50%.","Encases the target in a cocoon of Chi energy for 12 sec, absorbing [Total health * 48 / 100 * (1 + Versatility)] damage and increasing all healing over time received by 50%."
MONK,cc,Paralysis,115078,1,1,0,,0,,Instant,20 yards,45 seconds,wow-monk-paralysis.png,wow-monk-paralysis.jpg,Incapacitates the target for 1 min. Damage will cancel the effect. Limit 1.,Incapacitates the target for 1 min. Limit 1. Damage will cancel the effect.
MONK,raidDefensive,Restoral,388615,1,1,0,,0,,Instant,0 yards,1 second,wow-monk-restoral.png,wow-monk-restoral.jpg,Heals all party and raid members within 40 yds and clears them of all harmful Poison and Disease effects. Castable while stunned. Healing reduced beyond 5 targets.,Heals all party and raid members within 40 yds for (1497. 07% of Spell power) and clears them of all harmful Poison and Disease effects. Castable while stunned. Healing reduced beyond 5 targets.
MONK,raidDefensive,Revival,115310,1,1,1,Defensives,0,,Instant,0 yards,1 second,wow-monk-revival.png,wow-monk-revival.jpg,"Heals all party and raid members within 40 yds and removes 3 harmful Magic, all Poison, and all Disease effects. Healing is reduced beyond 5 targets.","Heals all party and raid members within 40 yds for (1497. 07% of Spell power) and clears them of 3 harmful Magic, all Poison, and all Disease effects. Healing reduced beyond 5 targets."
MONK,cc,Song of Chi-Ji,198898,1,1,0,,0,,1.8 seconds,40 yards,30 seconds,wow-monk-song-of-chi-ji.png,wow-monk-song-of-chi-ji.jpg,"Creates a cloud of hypnotic mist that travels forward, making enemies touched by it fall asleep and become disoriented for 20 sec.","Conjures a cloud of hypnotic mist that slowly travels forward. Enemies touched by the mist fall asleep, Disoriented for 20 sec."
MONK,interrupt,Spear Hand Strike,116705,1,1,1,Interrupts,0,,Instant,5 yards,15 seconds,wow-monk-spear-hand-strike.png,wow-monk-spear-hand-strike.jpg,Interrupts the targets spellcasting and prevents any spell from that school of magic from being cast for 3 sec.,"Jabs the target in the throat, interrupting spellcasting and preventing any spell from that school of magic from being cast for 3 sec."
MONK,offensive,Storm Earth and Fire,137639,1,0,0,,1,Offensives,Instant,0 yards,1.5 minutes,wow-monk-storm-earth-and-fire.png,wow-monk-storm-earth-and-fire.jpg,"Split into 3 elemental spirits for 15 sec, each dealing 40% of normal damage and healing. You control the Storm spirit, while Earth and Fire spirits attack nearby enemies. Recasting will make spirits focus on your target.","Split into 3 elemental spirits for 15 sec, each spirit dealing 40% of normal damage and healing. You directly control the Storm spirit, while Earth and Fire spirits mimic your attacks on nearby enemies. While active, casting Storm, Earth, and Fire again will cause the spirits to fixate on your target."
MONK,freedom,Tiger's Lust,116841,1,1,0,,0,,Instant,20 yards,30 seconds,wow-monk-tiger's-lust.png,wow-monk-tiger's-lust.jpg,Increases a friendly targets movement speed by 70% for 6 sec and removes all roots and snares.,Increases a friendly target's movement speed by 70% for 6 sec and removes all roots and snares.
MONK,defensive,Touch of Karma,122470,1,1,1,Defensives,0,,Instant,20 yards,1.5 minutes,wow-monk-touch-of-karma.png,wow-monk-touch-of-karma.jpg,"Absorbs all damage taken for 10 sec, up to 50% of your maximum health, and redirects 70% of it as Nature damage to the enemy over 6 sec.","Absorbs all damage taken for 10 sec, up to 50% of your maximum health, and redirects 70% of that amount to the enemy target as Nature damage over 6 sec."
MONK,movement,Transcendence: Transfer,119996,1,1,0,,0,,Instant,40 yards,45 seconds,wow-monk-transcendence-transfer.png,wow-monk-transcendence-transfer.jpg,Swaps your body and spirit locations.,Your body and spirit swap locations.
MONK,offensive,Weapons of Order,387184,0,0,0,,1,Offensives,Instant,0 yards,2 minutes,wow-monk-weapons-of-order.png,wow-monk-weapons-of-order.jpg,"For Brewmaster: Increases your Mastery by 8.8% for 30 sec. Keg Smash cooldown is reset instantly, and enemies hit by Keg Smash or Rising Sun Kick take 8% more damage from you for 10 sec, stacking up to 4 times. |  | For Windwalker and Mistweaver: Increases your Mastery by 17.25% for 30 sec.","Brewmaster For the next 30 sec, your Mastery is increased by 8. 8%. Additionally, Keg Smash cooldown is reset instantly and enemies hit by Keg Smash or Rising Sun Kick take 8% increased damage from you for 10 sec, stacking up to 4 times.   Windwalker,  Mistweaver For the next 30 sec, your Mastery is increased by 17. 25%. Additionally,"
PALADIN,interrupt,Avenger's Shield,31935,0,0,1,Interrupts,0,,Instant,30 yards,15 seconds,wow-paladin-avenger's-shield.png,wow-paladin-avenger's-shield.jpg,"Hurls your shield at an enemy, dealing Holy damage, interrupting and silencing the target for 3 sec, then jumps to 2 additional enemies.","Hurls your shield at an enemy target, dealing (75. 3523% of Attack power) Holy damage, interrupting and silencing the non-Player target for 3 sec, and then jumping to 2 additional nearby enemies."
PALADIN,heal,Avenging Crusader,216331,1,0,0,,1,Offensives,Instant,0 yards,1 minute,wow-paladin-avenging-crusader.png,wow-paladin-avenging-crusader.jpg,"You become the ultimate crusader of light for 15 sec. Crusader Strike and Judgment cool down 30% faster and heal up to 5 injured allies within 40 yds for 260% of the damage dealt, divided evenly. Grants an additional charge of Crusader Strike for its duration.","You become the ultimate crusader of light for 15 sec. Crusader Strike and Judgment cool down 30% faster and heal up to 5 injured allies within 40 yds for 260% of the damage done, split evenly among them. Grants an additional charge of Crusader Strike for its duration."
PALADIN,offensive,Avenging Wrath,31884,1,0,0,,1,Offensives,Instant,0 yards,2 minutes,wow-paladin-avenging-wrath.png,wow-paladin-avenging-wrath.jpg,"Call upon the Light to become an avatar of retribution, increasing your damage, healing, and critical strike chance by 20% for 20 sec. Judgment generates 1 additional Holy Power, each Holy Power spent causes you to deal damage to nearby enemies, reduces Holy Shocks cooldown by 50%, and allows Hammer of Wrath to be used on any target.","Call upon the Light to become an avatar of retribution, [causing Judgment to generate 1 additional Holy Power,] [each Holy Power spent causing you to explode with Holy light for (13. 5% of Attack power) damage to nearby enemies,] [reducing Holy Shock's cooldown by 50%,] [Hammer of Wrath: allowing Hammer of Wrath to be used on any target] increasing your damage, healing, and critical strike chance by 20% for 20 sec."
PALADIN,heal,Avenging Wrath,384376,1,1,0,,0,,Instant,0 yards,2 minutes,wow-paladin-avenging-wrath.png,wow-paladin-avenging-wrath.jpg,"Call upon the Light to increase your damage and healing done for 20 sec, allowing Hammer of Wrath to be cast on any target. Combines with other Avenging Wrath abilities, granting all known Avenging Wrath effects while active.","Retribution (Retribution Paladin) Call upon the Light and become an avatar of retribution, increasing your damage and healing done by 0% for 20 sec, and allowing Hammer of Wrath to be cast on any target. Combines with other Avenging Wrath abilities, granting all known Avenging Wrath effects while active. ProtectionCall upon the Light and become an avatar of retribution, increasing your damage and healing done by 0% for 20 sec, and allowing Hammer of Wrath to be cast on any target. Combines with other Avenging Wrath abilities, granting all known Avenging Wrath effects while active."
PALADIN,freedom,Blessing of Freedom,1044,1,1,0,,0,,Instant,40 yards,1.5 seconds,wow-paladin-blessing-of-freedom.png,wow-paladin-blessing-of-freedom.jpg,Grants a party or raid member immunity to movement impairing effects and increases movement speed by 30% for 8 sec.,"Blesses a party or raid member, granting immunity to movement impairing effects [Unbound Freedom: and increasing movement speed by 30%] for 8 sec."
PALADIN,externalDefensive,Blessing of Protection,1022,1,1,1,Defensives,0,,Instant,40 yards,1.5 seconds,wow-paladin-blessing-of-protection.png,wow-paladin-blessing-of-protection.jpg,Grants immunity to Physical damage and harmful effects for 10 sec to a party or raid member. Cannot be used on a target with Forbearance. Causes Forbearance for 30 sec. Shares a cooldown with Blessing of Spellwarding.,"Holy, RetributionBlesses a party or raid member, granting immunity to Physical damage and harmful effects for 10 sec. Cannot be used on a target with Forbearance. Causes Forbearance for 30 sec. ProtectionBlesses a party or raid member, granting immunity to Physical damage and harmful effects for 10 sec. Cannot be used on a target with Forbearance. Causes Forbearance for 30 sec. Shares a cooldown with Blessing of Spellwarding."
PALADIN,externalDefensive,Blessing of Sacrifice,6940,1,1,1,Defensives,0,,Instant,40 yards,2 minutes,wow-paladin-blessing-of-sacrifice.png,wow-paladin-blessing-of-sacrifice.jpg,"Blesses an ally, reducing their damage taken by 30% for 12 sec. You take the reduced damage unless it would lower your health below 20%.","Blesses a party or raid member, reducing their damage taken by 30%, but you suffer 100% of damage prevented. Last 12 sec, or until transferred damage would cause you to fall below 20% health."
PALADIN,counterCC,Blessing of Sanctuary,210256,1,1,0,,0,,Instant,40 yards,45 seconds,wow-paladin-blessing-of-sanctuary.png,wow-paladin-blessing-of-sanctuary.jpg,"Removes all stun, silence, fear, and horror effects from a friendly target and reduces the duration of future such effects by 60% for 5 sec.","Instantly removes all stun, silence, fear and horror effects from the friendly target and reduces the duration of future such effects by 60% for 5 sec."
PALADIN,externalDefensive,Blessing of Spellwarding,204018,1,1,1,Defensives,0,,Instant,40 yards,1.5 seconds,wow-paladin-blessing-of-spellwarding.png,wow-paladin-blessing-of-spellwarding.jpg,Grants a party or raid member immunity to magical damage and harmful effects for 10 sec. Cannot be used on targets with Forbearance and causes Forbearance for 30 sec. Shares a cooldown with Blessing of Protection.,"Blesses a party or raid member, granting immunity to magical damage and harmful effects for 10 sec. Cannot be used on a target with Forbearance. Causes Forbearance for 30 sec. Shares a cooldown with Blessing of Protection."
PALADIN,aoeCC,Blinding Light,115750,1,1,0,,0,,Instant,0 yards,1.5 minutes,wow-paladin-blinding-light.png,wow-paladin-blinding-light.jpg,"Blinds enemies within 10 yds, causing them to wander disoriented for 6 sec.","Emits dazzling light in all directions, blinding enemies within 10 yds, causing them to wander disoriented for 6 sec."
PALADIN,dispel,Cleanse,4987,0,1,0,,0,,Instant,40 yards,8 seconds,wow-paladin-cleanse.png,wow-paladin-cleanse.jpg,"Removes all Poison, Disease, and Magic effects from a friendly target.","Cleanses a friendly target, removing all [Improved Cleanse: Poison, Disease, and] Magic effects."
PALADIN,offensive,Crusade,231895,1,0,0,,1,Offensives,Instant,0 yards,2 minutes,wow-paladin-crusade.png,wow-paladin-crusade.jpg,"Call upon the Light to begin a crusade for 27 sec, increasing your haste and damage by 3%. Each Holy Power spent during Crusade increases haste and damage by an additional 3%, up to 10 stacks. Hammer of Wrath can be cast on any target.","Call upon the Light and begin a crusade, increasing your haste [Retribution: and damage] by 3% for 27 sec. Each Holy Power spent during Crusade increases haste and damage by an additional 3%. Maximum 10 stacks. [Sanctified Wrath: While active, each Holy Power spent causes you to explode with Holy light for (13. 5% of Attack power) damage to nearby enemies] [Retribution: Hammer of Wrath may be cast on any target]"
PALADIN,defensive,Divine Protection,403876,1,1,0,,0,,Instant,0 yards,1 minute,wow-paladin-divine-protection.png,wow-paladin-divine-protection.jpg,Reduces all damage you take by 20% for 8 sec. Can be used while stunned.,Reduces all damage you take by 20% for 8 sec. Usable while stunned.
PALADIN,defensive,Divine Protection,498,1,1,0,,0,,Instant,0 yards,1 minute,wow-paladin-divine-protection.png,wow-paladin-divine-protection.jpg,Reduces all damage you take by 20% for 8 sec. Can be used while stunned.,Reduces all damage you take by 20% for 8 sec. Usable while stunned.
PALADIN,immunity,Divine Shield,642,1,1,1,Defensives,0,,Instant,0 yards,5 minutes,wow-paladin-divine-shield.png,wow-paladin-divine-shield.jpg,"Grants immunity to all damage, harmful effects, knockbacks, and forced movement for 8 sec. Cannot be used during Forbearance and causes Forbearance for 30 sec.","Grants immunity to all damage, harmful effects, knockbacks and forced movement effects for 8 sec. Cannot be used if you have Forbearance. Causes Forbearance for 30 sec."
PALADIN,cc,Hammer of Justice,853,1,1,1,Crowd Control,0,,Instant,10 yards,45 seconds,wow-paladin-hammer-of-justice.png,wow-paladin-hammer-of-justice.jpg,Stuns an enemy for 6 sec.,Stuns the target for 6 sec.
PALADIN,heal,Lay on Hands,633,1,1,0,,0,,Instant,40 yards,10 minutes,wow-paladin-lay-on-hands.png,wow-paladin-lay-on-hands.jpg,Heals a friendly target for an amount equal to your maximum health. Cannot be used on a target with Forbearance and causes Forbearance for 30 sec.,Heals a friendly target for an amount equal to 100% your maximum health. Cannot be used on a target with Forbearance. Causes Forbearance for 30 sec.
PALADIN,interrupt,Rebuke,96231,1,1,1,Interrupts,0,,Instant,5 yards,15 seconds,wow-paladin-rebuke.png,wow-paladin-rebuke.jpg,Interrupts spellcasting and prevents any spell in that school from being cast for 3 sec.,Interrupts spellcasting and prevents any spell in that school from being cast for 3 sec.
PALADIN,defensive,Shield of Vengeance,184662,1,1,0,,0,,Instant,0 yards,1.5 minutes,wow-paladin-shield-of-vengeance.png,wow-paladin-shield-of-vengeance.jpg,"Creates a barrier of holy light that absorbs damage based on 30% of total health (increased by Versatility) for 10 sec. When the shield expires, it deals Holy damage equal to the absorbed amount, divided among all nearby enemies.","Creates a barrier of holy light that absorbs [30 / 100 * Total health * (1 + Versatility)] damage for 10 sec. When the shield expires, it bursts to inflict Holy damage equal to the total amount absorbed, divided among all nearby enemies."
PALADIN,externalDefensive,Ultimate Sacrifice,199448,1,1,0,,0,,Instant,40 yards,2 minutes,wow-paladin-ultimate-sacrifice.png,wow-paladin-ultimate-sacrifice.jpg,Transfers 100% of damage taken by a party or raid member to you over 6 sec.,"Places a Blessing on a party or raid member, transferring 100% of damage taken to you over 6 sec."
PRIEST,offensive,Dark Archangel,197871,0,0,0,,1,Offensives,Instant,0 yards,1 minute,wow-priest-dark-archangel.png,wow-priest-dark-archangel.jpg,Increases your damage and the damage of all allies with your Atonement by 15% for 8 sec.,"Increases your damage, and the damage of all allies with your Atonement by 15% for 8 sec."
PRIEST,offensive,Dark Ascension,391109,1,0,0,,1,Offensives,1.5 seconds,0 yards,1 minute,wow-priest-dark-ascension.png,wow-priest-dark-ascension.jpg,Increases your non-periodic Shadow damage by 20% for 20 sec.,Increases your non-periodic Shadow damage by 20% for 20 sec. Generates 30 Insanity.
PRIEST,defensive,Dispersion,47585,1,1,1,Defensives,0,,Instant,0 yards,2 minutes,wow-priest-dispersion.png,wow-priest-dispersion.jpg,"You disperse into shadow, reducing all damage taken by 75% for 6 sec and healing 25% of your maximum health over the duration. You cannot attack or cast spells. Increases movement speed by 50% and makes you immune to movement impairing effects. Can be cast while stunned, feared, or silenced.","Disperse into pure shadow energy, reducing all damage taken by 75% for 6 sec and healing you for [(25 + 0) * (0 + 6) / 6] 25% of your maximum health over its duration, but you are unable to attack or cast spells. Increases movement speed by 50% and makes you immune to all movement impairing effects. Castable while stunned, feared, or silenced."
PRIEST,defensive,Divine Ascension,328530,0,1,0,,0,,Instant,0 yards,1 minute,wow-priest-divine-ascension.png,wow-priest-divine-ascension.jpg,"You ascend into the air, increasing your spell range by 50% but can only cast Holy spells.","You ascend into the air out of harm's way. While floating, your spell range is increased by 50%, but you are only able to cast Holy spells."
PRIEST,externalDefensive,Guardian Spirit,47788,1,1,1,Defensives,0,,Instant,40 yards,3 minutes,wow-priest-guardian-spirit.png,wow-priest-guardian-spirit.jpg,"Summons a guardian spirit to watch over a friendly target for 10 sec, increasing healing received by 60%. If the target would die, the Spirit restores the target to 40% health. Castable while stunned. Cannot prevent death from massive damage.","Calls upon a guardian spirit to watch over the friendly target for 10 sec, increasing healing received by 60%. If the target would die, the Spirit sacrifices itself and restores the target to 40% health. Castable while stunned. Cannot save the target from massive damage."
PRIEST,cc,Holy Word: Chastise,88625,1,1,0,,0,,Instant,30 yards,1 minute,wow-priest-holy-word-chastise.png,wow-priest-holy-word-chastise.jpg,Deals Holy damage and stuns/incapacitates the target for 4 sec. Cooldown is reduced by 4 sec when you cast Smite.,Chastises the target for (385. 749% of Spell power) Holy damage and [Censure: stuns / incapacitates] them for [Censure: 4 sec / 4 sec] . [Holy (Level 26) : Cooldown reduced by 4 sec when you cast Smite.]
PRIEST,movement,Leap of Faith,73325,1,1,0,,0,,Instant,40 yards,1 second,wow-priest-leap-of-faith.png,wow-priest-leap-of-faith.jpg,Instantly moves a party or raid member to a location directly in front of you.,"Pulls the spirit of a party or raid member, instantly moving them directly in front of you."
PRIEST,dispel,Mass Dispel,32375,1,1,0,,0,,1.5 seconds,30 yards,2 minutes,wow-priest-mass-dispel.png,wow-priest-mass-dispel.jpg,Dispels all harmful Magic from 5 friendly targets and 1 beneficial Magic effect from 5 enemy targets within a 15-yard radius. Can remove normally undispellable Magic.,"Dispels magic in a 15 yard radius, removing all harmful Magic from 5 friendly targets and 1 beneficial Magic effects from 5 enemy targets. Potent enough to remove Magic that is normally undispellable."
PRIEST,externalDefensive,Pain Suppression,33206,1,1,1,Defensives,0,,Instant,40 yards,1.5 seconds,wow-priest-pain-suppression.png,wow-priest-pain-suppression.jpg,Reduces all damage taken by a friendly target by 40% for 8 sec. Can be cast while stunned.,Reduces all damage taken by a friendly target by 40% for 8 sec. Castable while stunned.
PRIEST,counterCC,Phase Shift,408558,0,0,0,,1,Offensives,Instant,0 yards,30 second,wow-priest-phase-shift.png,wow-priest-phase-shift.jpg,Avoids all attacks and spells for 1 sec when you cast Fade. Interrupt effects are not prevented by this spell.,"Step into the shadows when you cast Fade, avoiding all attacks and spells for 1 sec. Interrupt effects are not affected by Phase Shift."
PRIEST,offensive,Power Infusion,10060,1,1,0,,1,Offensives,Instant,40 yards,2 minutes,wow-priest-power-infusion.png,wow-priest-power-infusion.jpg,Increases a players haste by 20% for 15 sec.,"Infuses the target with power for 15 sec, increasing haste by 20%. Can only be cast on players."
PRIEST,cc,Psychic Horror,64044,1,1,1,Crowd Control,0,,Instant,30 yards,45 seconds,wow-priest-psychic-horror.png,wow-priest-psychic-horror.jpg,Stuns the target for 4 sec.,"Terrifies the target in place, stunning them for 4 sec."
PRIEST,aoeCC,Psychic Scream,8122,1,1,1,Crowd Control,0,,Instant,0 yards,45 seconds,wow-priest-psychic-scream.png,wow-priest-psychic-scream.jpg,"Causes all enemies within 8 yards to flee, disorienting them for 8 sec. Damage may interrupt the effect.","Lets out a psychic scream, causing all enemies within 8 yards to flee, disorienting them for 8 sec. Damage may interrupt the effect."
PRIEST,dispel,Purify,527,0,1,0,,0,,Instant,40 yards,8 seconds,wow-priest-purify.png,wow-priest-purify.jpg,"Removes all Magic [and Disease, if Improved Purify is learnt] effects from the target.","Dispels harmful effects on the target, removing all Magic [Improved Purify: and Disease] effects."
PRIEST,heal,Rapture,47536,1,1,0,,0,,Instant,40 yards,1.5 minutes,wow-priest-rapture.png,wow-priest-rapture.jpg,Immediately shields your target and your next 3 Power Word: Shields have no cooldown and absorb 80% additional damage.,"Immediately Power Word: Shield your target, and your next 3 Power Word: Shields have no cooldown and absorb 80% additional damage."
PRIEST,externalDefensive,Ray of Hope,197268,1,1,0,,0,,Instant,40 yards,1.5 minutes,wow-priest-ray-of-hope.png,wow-priest-ray-of-hope.jpg,Delays all damage and healing dealt to the target for 6 sec. All healing delayed is increased by 50%.,"For the next 6 sec, all damage and healing dealt to the target is delayed until Ray of Hope ends. All healing that is delayed by Ray of Hope is increased by 50%."
PRIEST,defensive,Restitution,391124,1,1,0,,0,,Instant,0 yards,,wow-priest-restitution.png,wow-priest-restitution.jpg,"After Spirit of Redemption ends, you revive with health based on the healing done during its duration, up to 100%. You cannot benefit from Spirit of Redemption again for 10 min.","After Spirit of Redemption expires, you will revive at up to 100% health, based on your healing done during Spirit of Redemption. After reviving, you cannot benefit from Spirit of Redemption for 10 min."
PRIEST,interrupt,Silence,15487,1,1,1,Crowd Control,0,,Instant,40 yards,45 seconds,wow-priest-silence.png,wow-priest-silence.jpg,"Silences the target, preventing them from casting spells for 4 sec. For non-players, also interrupts and locks the spell school for 4 sec.","Silences the target, preventing them from casting spells for 4 sec. Against non-players, also interrupts spellcasting and prevents any spell in that school from being cast for 4 sec."
PRIEST,defensive,Spirit of the Redeemer,215982,1,1,1,Defensives,1,Offensives,Instant,0 yards,,wow-priest-spirit-of-the-redeemer.png,wow-priest-spirit-of-the-redeemer.jpg,"Transforms your Spirit of Redemption into an active ability with a 2-minute cooldown. Its duration is reduced by 9 sec, and you no longer enter Spirit of Redemption upon dying.","Your Spirit of Redemption is now an active ability with a 2 minute cooldown, but the duration is reduced by 9 sec and you will no longer enter Spirit of Redemption upon dying."
PRIEST,externalDefensive,Void Shift,108968,1,1,1,Defensives,0,,Instant,40 yards,5 minutes,wow-priest-void-shift.png,wow-priest-void-shift.jpg,"Swaps health percentages with an ally. If either has less than 25% health, their percentage is increased to 25%.",Swap health percentages with your ally. Increases the lower health percentage of the two to 25% if below that amount.
ROGUE,cc,Blind,2094,1,1,1,Crowd Control,0,,Instant,15 yards,2 minutes,wow-rogue-blind.png,wow-rogue-blind.jpg,"Blinds the target, causing it to wander disoriented for 1 min. Damage will interrupt the effect.","Blinds the target, causing it to wander disoriented for 1 min. Damage will interrupt the effect. Limit 1."
ROGUE,defensive,Cheat Death,31230,1,1,0,,0,,Instant,0 yards,,wow-rogue-cheat-death.png,wow-rogue-cheat-death.jpg,"Fatal attacks reduce you to 7% health instead of killing you. For 3 sec afterward, you take 85% reduced damage. Can only happen once every 6 min.","Fatal attacks instead reduce you to 7% of your maximum health. For 3 sec afterward, you take 85% reduced damage. Cannot trigger more often than once per 6 min."
ROGUE,defensive,Cloak of Shadows,31224,1,1,1,Defensives,0,,Instant,0 yards,2 minutes,wow-rogue-cloak-of-shadows.png,wow-rogue-cloak-of-shadows.jpg,Grants magic immunity and instantly removes all harmful spell effects. You resist harmful spells for 5 sec.,"Provides a moment of magic immunity, instantly removing all harmful spell effects. The cloak lingers, causing you to resist harmful spells for 5 sec."
ROGUE,offensive,Deathmark,360194,1,0,0,,1,Offensives,Instant,5 yards,2 minutes,wow-rogue-deathmark.png,wow-rogue-deathmark.jpg,"Carves a deathmark into an enemy, dealing Bleed damage over 16 sec. While marked, your Garrote, Rupture, and Lethal poisons on the target are duplicated at full damage.","Carve a deathmark into an enemy, dealing (320% of Attack power) Bleed damage over 16 sec. While marked your Garrote, Rupture, and Lethal poisons applied to the target are duplicated, dealing 100% of normal damage."
ROGUE,defensive,Evasion,5277,1,1,1,Defensives,0,,Instant,0 yards,2 minutes,wow-rogue-evasion.png,wow-rogue-evasion.jpg,Increases your dodge chance to 100% for 10 sec.,Increases your dodge chance by 100% for 10 sec.
